tool,severity,rule_id,rule_name,path,line,column,message
bandit,LOW,B110,try_except_pass,app/services/exp4_experiment_service.py,36,,"Try, Except, Pass detected."
bandit,LOW,B101,assert_used,app/services/exp4_experiment_service.py,60,,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
bandit,LOW,B112,try_except_continue,app/services/image_service.py,82,,"Try, Except, Continue detected."
bandit,LOW,B110,try_except_pass,app/services/inventory_service.py,73,,"Try, Except, Pass detected."
pylint,convention,C0305,trailing-newlines,app/__init__.py,2,0,Trailing newlines
pylint,convention,C0305,trailing-newlines,app/api/__init__.py,2,0,Trailing newlines
pylint,convention,C0411,wrong-import-order,app/api/admin.py,3,0,"standard import ""from typing import List, Optional"" should be placed before ""from fastapi import APIRouter, Depends, Query, HTTPException, Body"""
pylint,convention,C0411,wrong-import-order,app/api/admin.py,11,0,"third party import ""from pydantic import BaseModel"" should be placed before ""from app.db import get_db"""
pylint,convention,C0411,wrong-import-order,app/api/admin.py,12,0,"standard import ""from typing import Optional"" should be placed before ""from fastapi import APIRouter, Depends, Query, HTTPException, Body"""
pylint,warning,W0404,reimported,app/api/admin.py,12,0,Reimport 'Optional' (imported line 3)
pylint,warning,W0707,raise-missing-from,app/api/admin.py,51,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=400, detail=str(e)) from e'"
pylint,warning,W0707,raise-missing-from,app/api/admin.py,69,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=404, detail=str(e)) from e'"
pylint,warning,W0707,raise-missing-from,app/api/admin.py,87,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=400, detail=str(e)) from e'"
pylint,warning,W0707,raise-missing-from,app/api/admin.py,99,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=400, detail=str(e)) from e'"
pylint,warning,W0707,raise-missing-from,app/api/admin.py,139,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=400, detail=str(e)) from e'"
pylint,warning,W0707,raise-missing-from,app/api/admin.py,152,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=400, detail=str(e)) from e'"
pylint,warning,W0707,raise-missing-from,app/api/admin.py,191,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=404, detail=str(e)) from e'"
pylint,convention,C0305,trailing-newlines,app/api/admin.py,197,0,Trailing newlines
pylint,warning,W0611,unused-import,app/api/auth.py,2,0,Unused HTTPException imported from fastapi
pylint,convention,C0303,trailing-whitespace,app/api/auth.py,22,0,Trailing whitespace
pylint,convention,C0303,trailing-whitespace,app/api/auth.py,29,0,Trailing whitespace
pylint,convention,C0305,trailing-newlines,app/api/auth.py,31,0,Trailing newlines
pylint,convention,C0411,wrong-import-order,app/api/menu.py,3,0,"standard import ""from typing import List, Optional"" should be placed before ""from fastapi import APIRouter, Depends, Query, HTTPException"""
pylint,convention,C0303,trailing-whitespace,app/api/menu.py,66,0,Trailing whitespace
pylint,warning,W0707,raise-missing-from,app/api/menu.py,82,8,"Consider explicitly re-raising using 'raise HTTPException(status_code=404, detail=str(e)) from e'"
pylint,convention,C0305,trailing-newlines,app/api/menu.py,83,0,Trailing newlines
